Temperature,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DNI,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),Year
21.400582191780824,0.14747100456621004,0.6225753424657534,467671,2924144,2281466,17.20732876712329,680866,1813668,1814049,0.2845792237442923,80.30490068493151,89.71288242009132,0.9609063926940639,0.18043835616438358,1012.7108447488584,3.13675799086758,167.93949771689498,2.3931278538812784,104078.9547,81623.5811,1998
21.559406392694065,0.12219623287671234,0.6225753424657534,438605,3024804,2300572,16.294748858447488,677508,1998718,1888092,0.2815199771689497,75.78806392694065,89.71293378995435,0.9619303652968036,0.18043835616438358,1014.2286529680365,2.9330251141552517,165.4673515981735,2.247054794520548,108005.9185,84686.3122,1999
21.35755707762557,0.15357990867579907,0.6225753424657534,479104,2903632,2278434,15.990148401826485,718037,1816185,1858027,0.2835038812785388,75.58043378995434,89.7396187214612,0.9625285388127854,0.18043835616438358,1014.9359589041096,2.997465753424658,163.79109589041096,2.382328767123288,106704.8347,83682.8061,2000
20.20582191780822,0.15016792237442922,0.6225753424657534,476203,2897835,2274992,16.840502283105025,730492,1681916,1770944,0.28458299086757993,83.00449315068494,89.71304452054795,0.9633447488584475,0.17221917808219178,1014.8528538812785,3.1017808219178087,158.45445205479453,2.1367808219178084,101567.3087,79647.8824,2001
20.339863013698633,0.16083881278538814,0.6225753424657534,489252,2874454,2271114,16.646324200913245,742282,1671285,1766562,0.2795672374429224,81.77350342465753,89.71321461187215,0.9604417808219178,0.17153424657534247,1014.3527397260274,3.124851598173516,162.59954337899543,2.3244520547945204,101140.1485,79310.9109,2002
20.240125570776257,0.18120079908675799,0.6225753424657534,517679,2809209,2255528,16.63051369863014,730914,1634670,1730479,0.28989691780821913,82.01949543378996,89.71254452054795,0.956062785388128,0.16586301369863013,1013.8296803652968,3.1194406392694067,165.70662100456622,2.1209817351598175,99105.1676,77712.293,2003
20.729349315068493,0.154888698630137,0.6225753424657534,483961,2865727,2264058,17.25285388127854,697417,1579694,1685605,0.28284965753424657,82.6954908675799,89.7398892694064,0.9598801369863013,0.16512328767123288,1014.5738584474885,3.197100456621005,163.51552511415525,2.175924657534247,96630.772,75781.22,2004
21.11082191780822,0.1720658675799087,0.6225753424657534,501509,2841474,2265799,16.03939497716895,702745,1839192,1850657,0.28708493150684933,76.29789840182649,89.71273515981736,0.9549086757990868,0.16846575342465753,1013.7117579908676,3.0541324200913245,164.57077625570776,2.0945890410958907,106170.3601,83257.1841,2005
21.078527397260274,0.1607703196347032,0.6225753424657534,490288,2868196,2268536,16.58447488584475,697002,1773100,1789971,0.28172385844748854,78.52676598173515,89.7129897260274,0.9530696347031963,0.16619178082191782,1014.0932648401827,3.1282762557077626,168.89840182648402,2.171780821917808,102578.3705,80440.4793,2006
20.071632420091323,0.16299155251141553,0.6225753424657534,498038,2835694,2258546,17.045011415525117,729897,1574953,1693340,0.28554657534246575,84.38437671232877,89.71264269406393,0.9569246575342466,0.1672054794520548,1014.6662100456621,3.2748059360730597,161.71061643835617,1.9802625570776258,96942.4981,76015.9638,2007
20.656221461187215,0.1576373287671233,0.6225753424657534,486095,2882140,2275267,15.81244292237443,674878,1814084,1800504,0.28087351598173516,76.86692808219179,89.73936643835616,0.9535947488584474,0.17115068493150684,1014.0901826484019,2.9670890410958903,166.20730593607306,2.3817351598173517,103203.1475,80931.9684,2008
20.852614155251143,0.16387728310502284,0.6225753424657534,489400,2868217,2269471,15.90101598173516,679342,1703745,1741251,0.28039166666666665,76.75227853881277,89.71296917808219,0.9496095890410959,0.17175342465753424,1013.7361872146118,3.1218607305936072,176.02522831050229,2.3029566210045664,99877.1691,78325.4633,2009
20.183527397260274,0.14484817351598173,0.6225753424657534,464318,2946310,2288606,15.381050228310503,658988,1869922,1818214,0.2929688356164384,77.26158789954339,89.71319292237442,0.9489737442922375,0.17457534246575343,1013.4199771689498,2.919942922374429,176.4502283105023,2.196358447488585,104217.9,81727.2235,2010
21.81294520547945,0.16657899543378996,0.6225753424657534,483562,2908605,2285533,14.775285388127854,654307,2007454,1915266,0.2809690639269406,69.45829794520549,89.71301712328767,0.9409349315068494,0.17345205479452055,1013.312100456621,2.7574771689497717,175.8505707762557,2.526689497716895,109920.9542,86207.1819,2011
21.66361872146119,0.1531808219178082,0.6225753424657534,475315,2898692,2271525,17.00958904109589,700348,1804511,1822846,0.284348401826484,78.02787785388128,89.7403390410959,0.9456130136986302,0.17545205479452056,1013.8349315068493,3.024554794520548,170.49109589041095,2.112694063926941,104657.8295,82073.6844,2012
20.53219178082192,0.14764805936073058,0.6225753424657534,465956,2929607,2282998,15.520730593607306,701692,1736544,1792962,0.2830464611872146,76.4502602739726,89.7130102739726,0.9476872146118721,0.17547945205479454,1014.4235159817351,3.0196004566210046,163.2390410958904,2.2983333333333333,102912.2394,80709.7171,2013
20.095102739726027,0.13900787671232878,0.6225753424657534,457225,2949373,2283962,15.686324200913244,702941,1641717,1722059,0.28884554794520545,78.66136757990867,89.71324771689498,0.9470707762557078,0.17008219178082193,1014.6146118721462,2.994246575342466,166.28127853881278,2.2350456621004566,98723.773,77421.7852,2014
20.758767123287672,0.15223401826484018,0.6225753424657534,477416,2870277,2261088,17.364988584474887,698030,1604817,1697819,0.28765947488584476,83.27030707762557,89.71320890410958,0.9505365296803652,0.168,1014.3456621004566,3.273025114155251,167.6845890410959,2.0414840182648404,97374.5353,76367.2656,2015
21.34503424657534,0.13884029680365298,0.6225753424657534,455438,2939754,2272491,17.748253424657534,690069,1767885,1759757,0.2843228310502283,82.02739497716895,89.73993721461187,0.9486940639269406,0.17104109589041094,1014.2906392694064,3.261495433789954,157.6947488584475,2.0438470319634705,100833.4914,79061.7399,2016
21.44538812785388,0.14209783105022833,0.6225753424657534,460349,2929595,2276296,17.453036529680364,700629,1770360,1786228,0.282785502283105,80.35558105022831,89.71327168949772,0.9451792237442923,0.17468493150684933,1013.585502283105,3.1584817351598176,164.6812785388128,2.2447031963470323,102296.2793,80214.3928,2017
20.99851598173516,0.13894280821917807,0.6225753424657534,460825,2922452,2272339,16.66353881278539,642868,1643463,1663829,0.287533105022831,79.35152283105022,89.71314611872147,0.9493481735159817,0.1756986301369863,1014.4243150684931,3.2415068493150687,163.37568493150684,2.273173515981735,95274.1164,74716.2592,2018
21.012031963470317,0.15267351598173518,0.6225753424657534,477641,2891903,2269500,16.83497716894977,646239,1666647,1666712,0.27754486301369863,79.80248173515982,89.71269634703197,0.9494280821917808,0.17432876712328768,1013.5813926940639,3.1471118721461186,161.862100456621,2.309326484018265,95322.5062,74745.4321,2019
21.766963470319634,0.14810125570776256,0.6225753424657534,469730,2905897,2269445,17.097123287671234,626843,1729176,1692281,0.2818002283105023,78.120200913242,89.74016324200913,0.9453630136986301,0.17432876712328768,1013.6690639269407,3.163744292237443,160.5181506849315,2.3188242009132423,97105.3047,76150.0087,2020
21.065559360730596,0.149123401826484,0.6225753424657534,469789,2911027,2272074,17.189703196347033,608103,1811235,1708149,0.28642317351598173,81.00083675799087,89.71306621004565,0.9465844748858447,0.17597260273972604,1013.7340182648402,3.1632762557077627,160.07397260273973,2.1834018264840185,97590.1802,76514.9989,2021
21.522317351598172,0.13511860730593606,0.6225753424657534,452365,2972224,2289966,15.495125570776258,567724,2106672,1874496,0.28701472602739725,72.86699657534247,89.71354566210046,0.9441997716894978,0.17432876712328768,1014.0848173515982,2.9073287671232877,165.4472602739726,2.375057077625571,107387.0066,84210.2821,2022
22.447808219178086,0.1434945205479452,0.6225753424657534,462413,2938990,2278863,16.935285388127856,604689,1918736,1798438,0.2810406392694064,75.39137328767124,89.71378196347031,0.9457454337899542,0.17432876712328768,1013.0528538812786,2.999200913242009,169.44086757990868,2.231769406392694,103034.4263,80800.0242,2023
22.243287671232878,0.16335730593607306,0.6225753424657534,483963,2881494,2263983,17.847728310502283,645780,1812286,1727967,0.28897020547945207,79.33928310502283,89.74070776255708,0.9443253424657533,0.1789041095890411,1012.5326484018265,3.1457534246575345,157.55319634703196,2.203436073059361,98444.5386,77184.5196,2024
